Iterations,continuity,x-velocity,y-velocity,z-velocity,energy,k,epsilon
108,0.00427676,5.28101e-05,5.72249e-05,2.55359e-05,6.93614e-06,0.00026039,0.00313048
109,0.00421129,5.19071e-05,5.61828e-05,2.49718e-05,6.79094e-06,0.000255743,0.00308984
110,0.00414288,5.10187e-05,5.51936e-05,2.44035e-05,6.65288e-06,0.000251339,0.00305096
111,0.00407463,5.01162e-05,5.42051e-05,2.38634e-05,6.51882e-06,0.000247273,0.00301392
112,0.00400795,4.9238e-05,5.32607e-05,2.33354e-05,6.38348e-06,0.000243316,0.00298093
113,0.00394193,4.83977e-05,5.23612e-05,2.27708e-05,6.25802e-06,0.000240058,0.0029513
114,0.00387603,4.75135e-05,5.14242e-05,2.2248e-05,6.13304e-06,0.000236654,0.00292324
115,0.00381025,4.66997e-05,5.05829e-05,2.16797e-05,6.01787e-06,0.000233465,0.00289791
116,0.00374431,4.58644e-05,4.97181e-05,2.11445e-05,5.91124e-06,0.000230463,0.00287562
117,0.00367649,4.50527e-05,4.88882e-05,2.06392e-05,5.80867e-06,0.000227763,0.00285536
118,0.00361035,4.42391e-05,4.8073e-05,2.01668e-05,5.71163e-06,0.000225147,0.00283431
119,0.00354714,4.34583e-05,4.72944e-05,1.96947e-05,5.61803e-06,0.000222639,0.00281051
120,0.00348796,4.26957e-05,4.65355e-05,1.92468e-05,5.52659e-06,0.000219842,0.00278585
121,0.00343213,4.19791e-05,4.58189e-05,1.87969e-05,5.43421e-06,0.000216791,0.00276288
122,0.00337797,4.1274e-05,4.51099e-05,1.83647e-05,5.35552e-06,0.000214331,0.00273948
123,0.00331933,4.05358e-05,4.43785e-05,1.8008e-05,5.27332e-06,0.000211409,0.00271299
124,0.0032639,3.99109e-05,4.37629e-05,1.76005e-05,5.19729e-06,0.000208713,0.00268122
125,0.00321108,3.92398e-05,4.30879e-05,1.72636e-05,5.11585e-06,0.000205579,0.00264994
126,0.00316298,3.86708e-05,4.25079e-05,1.68824e-05,5.05112e-06,0.000203174,0.0026208
127,0.00311302,3.80042e-05,4.18399e-05,1.65978e-05,4.98542e-06,0.000200847,0.00259337
128,0.00306603,3.74463e-05,4.12838e-05,1.62736e-05,4.92603e-06,0.000198654,0.0025627
129,0.00301878,3.68317e-05,4.0665e-05,1.6032e-05,4.85897e-06,0.000195774,0.00253106
130,0.00297568,3.63125e-05,4.01383e-05,1.56912e-05,4.80073e-06,0.000193378,0.00249893
131,0.00293301,3.57287e-05,3.95397e-05,1.54496e-05,4.74435e-06,0.000191015,0.00246728
132,0.00288959,3.52064e-05,3.90045e-05,1.52133e-05,4.68659e-06,0.000188435,0.00243569
133,0.00284723,3.47063e-05,3.84841e-05,1.49603e-05,4.63287e-06,0.000186221,0.0024029
134,0.00280615,3.41957e-05,3.79466e-05,1.47492e-05,4.5743e-06,0.000183582,0.00237301
135,0.00276873,3.37394e-05,3.74684e-05,1.44967e-05,4.51973e-06,0.000181483,0.00234734
136,0.00273292,3.32685e-05,3.69645e-05,1.42829e-05,4.46955e-06,0.000179746,0.00232296
137,0.00269644,3.28138e-05,3.64784e-05,1.40879e-05,4.41784e-06,0.000177958,0.00229897
